Study,BioProject,Sample,Raw,Trimmed,Aligned,Input Reads,Assigned Reads
Wecker2018,PRJNA369135,SRR5215315,12476239,12430824,10562704,11040377,8029283
Wecker2018,PRJNA369135,SRR5215316,5760039,5744813,4799736,5033706,3634698
Wecker2018,PRJNA369135,SRR5215317,12222266,12187406,10510891,10957396,8207162
Wecker2018,PRJNA369135,SRR5215318,5632274,5616313,4805550,5018340,3658222
Wecker2018,PRJNA369135,SRR5215319,7972798,7946411,6530388,6819564,5005023
Zhou2018,PRJNA401251,SRR6001268,30846679,30531021,10134579,11035859,7237122
Zhou2018,PRJNA401251,SRR6001269,31226383,30784658,8943330,9730630,6138678
Zhou2018,PRJNA401251,SRR6001270,29244058,29075427,10178944,11097482,7228810
Zhou2018,PRJNA401251,SRR6001271,30777208,30513557,13991574,15264497,10442533
Zhou2018,PRJNA401251,SRR6001272,31344353,31074270,14389766,15702528,10771952
Zhou2018,PRJNA401251,SRR6001273,29245146,29090816,13895712,15185370,10335784
Poquita-Du2019,PRJNA435468,SRR6881951,3052993,101916,15037,34784,23117
Poquita-Du2019,PRJNA435468,SRR6881952,3052954,110646,15471,35504,24016
Poquita-Du2019,PRJNA435468,SRR6881953,3082488,105074,14208,33172,21949
Poquita-Du2019,PRJNA435468,SRR6906282,4715956,150861,18283,43708,28390
Poquita-Du2019,PRJNA435468,SRR6906283,4574116,152282,16133,40040,24733
Poquita-Du2019,PRJNA435468,SRR6906284,4562068,161580,17847,43476,27259
Poquita-Du2019,PRJNA435468,SRR6906302,3943385,143023,17221,38692,26802
Poquita-Du2019,PRJNA435468,SRR6906303,3920597,150653,18873,42040,29457
Poquita-Du2019,PRJNA435468,SRR6906304,3851903,136245,18711,40930,29220
Poquita-Du2019,PRJNA435468,SRR6906456,5651119,227750,22333,51700,34683
Poquita-Du2019,PRJNA435468,SRR6906457,5687519,218490,20342,47910,31638
Poquita-Du2019,PRJNA435468,SRR6906458,5794109,210304,23250,52700,36195
Poquita-Du2019,PRJNA435468,SRR6914151,12203579,12007339,4584819,10321504,7227749
Poquita-Du2019,PRJNA435468,SRR6914609,12967233,12733448,5686393,12840163,8808538
Poquita-Du2019,PRJNA435468,SRR6914908,28545207,28085973,8896351,20226245,13793623
Poquita-Du2019,PRJNA435468,SRR6934388,15051068,14787201,6015406,13612051,9383597
Poquita-Du2019,PRJNA435468,SRR6934542,14591108,14366616,6090086,13827251,9436005
Poquita-Du2019,PRJNA435468,SRR6935629,13955092,13680364,4354378,9818736,6800093
Poquita-Du2019,PRJNA435468,SRR6942678,16152295,15839787,5081323,11511139,7909757
Poquita-Du2019,PRJNA435468,SRR6942729,13274877,13020330,6086849,13787309,9496615
Poquita-Du2019,PRJNA435468,SRR6951423,13059689,12859388,5073084,11431426,7979902
Poquita-Du2019,PRJNA435468,SRR6951744,18879752,18486478,7756543,17519898,12173818
Poquita-Du2019,PRJNA435468,SRR6952431,15119431,14841254,6444377,14621726,10048518
Poquita-Du2019,PRJNA435468,SRR6963586,17192439,16940261,6778908,15300074,10711754
Poquita-Du2019,PRJNA435468,SRR6963878,21882301,21491595,9731129,21900924,15488160
Poquita-Du2019,PRJNA435468,SRR6963891,11222227,11015751,4856946,10862628,7756868
Poquita-Du2019,PRJNA435468,SRR6964364,23442807,23069362,11329387,25598123,17833196
Poquita-Du2019,PRJNA435468,SRR6986864,24615093,24194445,9971746,22546802,15617206
Poquita-Du2019,PRJNA435468,SRR6987146,20915430,20525480,7879257,17827114,12337770
Poquita-Du2019,PRJNA435468,SRR7039808,11330475,11092795,4099050,9258264,6422268
